ID,PARTITION,STATUS,MLST_1,YEAR,MONTH,DAY,blaADC-30,blaOXA-237_blaOXA-134-like,blaOXA-66_blaOXA-51-like,blaTEM-1D_1,blaADC-56,blaOXA-82_1_blaOXA-51-like,blaADC-73,blaOXA-23_blaOXA-23-like,blaOXA-237,blaOXA-66,blaOXA-23,blaNDM-1
sample1,1,,ST218;ST2164-PARALOG,2017,12,5,1,0,1,0,0,0,0,0,0,0,0,0
sample2,3,,ST208;ST1806-PARALOG,2017,12,15,1,0,1,1,0,0,0,1,0,0,0,0
sample3,12,,ST804;ST2165-PARALOG,2018,1,4,0,0,1,1,0,0,0,1,0,0,0,0
sample4,8,,ST451,2018,2,4,0,0,1,1,0,0,1,1,0,0,0,0
sample5,8,,ST451,2018,2,7,0,0,1,1,0,0,1,1,0,0,0,0
sample6,5,,ST368;ST1962-PARALOG,2018,2,24,0,0,0,0,0,0,0,1,0,0,0,0
sample7,8,,ST451,2018,6,11,0,0,1,1,0,0,1,1,0,0,0,0
sample8,3,,ST208;ST1806-PARALOG,2018,6,20,1,0,1,1,0,0,0,1,0,0,0,0
sample9,8,,ST451,2018,7,5,0,0,1,1,0,0,1,1,0,0,0,0
sample10,3,,ST208;ST1806-PARALOG,2018,7,7,1,0,1,1,0,0,0,1,0,0,0,0
sample11,8,,ST451,2018,9,11,0,0,1,1,0,0,1,1,0,0,0,0
sample12,9,,ST218;ST2164-PARALOG,2018,11,15,1,0,1,0,0,0,0,1,0,0,0,0
sample13,3,,ST208;ST1806-PARALOG,2018,12,18,1,0,1,1,0,0,0,1,0,0,0,0
sample14,3,,ST208;ST1806-PARALOG,2019,1,23,1,0,1,1,0,0,0,1,0,0,0,0
sample15,3,,ST208;ST1806-PARALOG,2019,2,19,1,0,1,0,0,0,0,1,0,0,0,0
sample16,3,,ST208;ST1806-PARALOG,2019,4,1,1,0,1,1,0,0,0,1,0,0,0,0
sample17,1,,ST208,2019,8,9,1,1,1,1,0,0,0,0,0,0,0,0
sample18,1,,ST208;ST1806-PARALOG,2020,2,24,1,1,1,1,0,0,0,0,0,0,0,0
sample19,1,,ST208;ST1806-PARALOG,2020,2,25,1,1,1,1,0,0,0,0,0,0,0,0
sample20,1,,ST208,2020,2,27,1,1,1,1,0,0,0,0,0,0,0,0
sample21,2,,ST208;ST1806-PARALOG,2020,2,29,1,0,0,1,0,1,0,0,0,0,0,0
sample22,2,,ST208;ST1806-PARALOG,2020,4,4,1,0,0,1,0,1,0,0,0,0,0,0
sample23,1,,ST208;ST1806-PARALOG,2020,5,20,1,1,1,1,0,0,0,0,0,0,0,0
sample24,1,,ST208;ST1806-PARALOG,2020,7,13,0,1,1,1,1,0,0,0,0,0,0,0
sample25,1,,ST208;ST1806-PARALOG,2020,7,15,0,1,1,1,1,0,0,0,0,0,0,0
sample26,1,,ST208;ST1806-PARALOG,2020,7,17,1,1,1,1,0,0,0,0,0,0,0,0
sample27,2,,ST208;ST1806-PARALOG,2021,8,31,1,0,0,0,0,0,0,0,0,0,0,0
sample28,1,,ST208;ST1806-PARALOG,2022,2,7,0,1,1,0,1,0,0,0,0,0,0,0
sample29,8,,ST451;ST1809-PARALOG,2022,2,24,0,0,1,0,0,0,1,1,0,0,0,0
sample30,2,,ST208;ST1806-PARALOG,2022,4,6,0,0,1,1,1,0,0,0,0,0,0,0
sample31,5,,ST1962-PARALOG,2022,5,17,0,0,0,0,0,0,0,1,0,0,0,0
sample32,1,,ST208;ST1806-PARALOG,2022,6,15,1,1,1,1,0,0,0,0,0,0,0,0
sample33,2,,ST208,2022,6,29,1,0,0,0,0,0,0,0,0,0,0,0
sample34,1,,ST208;ST1806-PARALOG,2022,7,2,1,1,1,0,0,0,0,0,0,0,0,0
sample35,1,,ST208;ST1806-PARALOG,2022,7,11,0,1,1,1,1,0,0,0,0,0,0,0
sample36,1,,ST208;ST1806-PARALOG,2022,7,19,1,1,1,0,0,0,0,0,0,0,0,0
sample37,1,,ST208;ST1806-PARALOG,2022,8,11,1,1,1,1,0,0,0,0,0,0,0,0
sample38,2,,ST208,2022,8,13,1,0,0,0,0,0,0,0,1,1,0,0
sample39,2,,ST208;ST1806-PARALOG,2022,9,4,1,0,0,0,0,0,0,0,0,0,0,0
sample40,1,,ST208;ST1806-PARALOG,2022,9,21,1,1,1,1,0,0,0,0,0,0,0,0
sample41,1,,ST208;ST1806-PARALOG,2022,9,30,0,1,1,1,1,0,0,0,0,0,0,0
sample42,1,,ST208;ST1806-PARALOG,2022,11,2,0,1,1,1,1,0,0,0,0,0,0,0
sample43,1,,ST208;ST1806-PARALOG,2022,11,6,0,1,1,1,1,0,0,0,0,0,0,0
sample44,1,,ST208;ST1806-PARALOG,2022,12,3,1,1,1,0,0,0,0,0,0,0,0,0
sample45,1,,ST208;ST1806-PARALOG,2022,12,5,1,1,1,0,0,0,0,0,0,0,0,0
sample46,1,,ST208;ST1806-PARALOG,2022,12,9,1,1,1,0,0,0,0,0,0,0,0,0
sample47,1,,ST208;ST1806-PARALOG,2022,12,10,1,1,1,0,0,0,0,0,0,0,0,0
sample48,3,,ST208;ST1806-PARALOG,2022,12,23,1,0,1,1,0,0,0,1,0,0,0,0
sample49,2,,ST208;ST1806-PARALOG,2023,1,4,0,0,0,0,1,0,0,0,0,1,0,0
sample50,3,,ST208;ST1806-PARALOG,2023,1,20,1,0,0,1,0,0,0,0,0,1,1,0
sample51,1,,ST208;ST1806-PARALOG,2023,2,14,1,0,0,1,0,0,0,0,1,1,0,0
sample52,3,,ST208;ST1806-PARALOG,2023,2,17,1,0,0,1,0,0,0,0,0,1,1,0
sample53,1,,ST208;ST1806-PARALOG,2023,3,10,1,0,0,1,0,0,0,0,1,1,0,0
sample54,1,,ST208;ST1806-PARALOG,2023,3,15,1,0,0,1,0,0,0,0,1,1,0,0
sample55,1,,ST208;ST1806-PARALOG,2023,3,15,1,0,0,0,0,0,0,0,1,1,0,0
sample56,3,,ST208;ST1806-PARALOG,2023,3,29,1,0,0,0,0,0,0,0,0,1,1,0
sample57,1,,ST208;ST1806-PARALOG,2023,4,5,1,0,0,1,0,0,0,0,1,1,0,0
sample58,3,,ST208;ST1806-PARALOG,2023,4,7,1,0,0,1,0,0,0,0,0,1,1,0
sample59,1,,ST208;ST1806-PARALOG,2023,4,14,1,0,0,1,0,0,0,0,1,1,0,0
sample60,1,,ST208;ST1806-PARALOG,2023,5,16,1,1,1,1,0,0,0,0,0,0,0,0
sample61,1,,ST208;ST1806-PARALOG,2023,5,21,1,1,1,1,0,0,0,0,0,0,0,0
sample62,1,,ST208;ST1806-PARALOG,2023,5,22,1,1,1,1,0,0,0,0,0,0,0,0
sample63,1,,ST208;ST1806-PARALOG,2023,5,30,1,1,1,0,0,0,0,0,0,0,0,0
sample64,2,,ST208;ST1806-PARALOG,2023,7,5,0,1,1,1,0,0,0,0,0,0,0,0
sample65,2,,ST208;ST1806-PARALOG,2023,7,13,0,1,1,1,0,0,0,0,0,0,0,0
sample66,8,,ST195;ST1816-PARALOG,2023,7,24,0,0,1,0,0,0,1,1,0,0,0,0
sample67,8,,ST195;ST1816-PARALOG,2023,7,30,0,0,1,0,0,0,0,1,0,0,0,0
sample68,1,,ST208;ST1806-PARALOG,2023,8,3,1,1,1,1,0,0,0,0,0,0,0,0
sample69,8,,ST195;ST1816-PARALOG,2023,8,9,0,0,1,0,0,0,1,1,0,0,0,0
sample70,1,,ST208;ST1806-PARALOG,2023,8,14,1,1,1,0,0,0,0,0,0,0,0,0
sample71,13,,STNovel_allele-PARALOG;Novel_allele,2023,8,21,0,0,1,0,0,0,0,1,0,0,0,0
sample72,10,,ST2535-PARALOG;ST1697,2023,8,23,1,0,1,0,0,0,0,1,0,0,0,1
sample73,8,,ST195;ST1816-PARALOG,2023,8,23,0,0,1,0,0,0,1,1,0,0,0,0
sample74,6,,ST1839-PARALOG,2023,8,25,0,0,0,0,0,1,0,1,0,0,0,0
sample75,1,,ST208;ST1806-PARALOG,2023,8,25,1,1,1,1,0,0,0,0,0,0,0,0
sample76,1,,ST208;ST1806-PARALOG,2023,8,27,1,1,1,0,0,0,0,0,0,0,0,0
sample77,10,,ST2535-PARALOG;ST1697,2023,8,27,1,0,1,0,0,0,0,1,0,0,0,1
sample78,1,,ST208;ST1806-PARALOG,2023,8,28,0,1,1,1,1,0,0,0,0,0,0,0
sample79,8,,ST195;ST1816-PARALOG,2023,8,28,0,0,1,0,0,0,1,1,0,0,0,0
sample80,8,,ST195;ST1816-PARALOG,2023,8,28,0,0,1,1,0,0,1,1,0,0,0,0
sample81,8,,ST195;ST1816-PARALOG,2023,8,28,0,0,1,1,0,0,1,1,0,0,0,0
sample82,1,,ST208;ST1806-PARALOG,2023,8,31,1,1,1,0,0,0,0,0,0,0,0,0
sample83,8,,ST195;ST1816-PARALOG,2023,8,31,0,0,1,0,0,0,1,1,0,0,0,0
sample84,7,,ST281,2023,9,2,0,0,0,0,0,1,0,1,0,0,0,0
sample85,1,,ST208;ST1806-PARALOG,2023,9,3,1,1,1,0,0,0,0,0,0,0,0,0
sample86,1,,ST208;ST1806-PARALOG,2023,9,9,1,1,1,0,0,0,0,0,0,0,0,0
sample87,10,,ST2535-PARALOG;ST1697,2023,9,9,1,0,1,0,0,0,0,1,0,0,0,1
sample88,1,,ST208;ST1806-PARALOG,2023,9,10,1,1,1,1,0,0,0,0,0,0,0,0
sample89,8,,ST195;ST1816-PARALOG,2023,9,11,0,0,1,1,0,0,1,1,0,0,0,0
sample90,10,,ST2535-PARALOG;ST1697,2023,9,12,1,0,1,0,0,0,0,1,0,0,0,1
sample91,1,,ST208;ST1806-PARALOG,2023,9,12,1,0,1,1,0,0,0,0,0,0,0,0
sample92,2,,ST208,2023,9,13,1,0,0,0,0,0,0,0,0,0,0,0
sample93,1,,ST208;ST1806-PARALOG,2023,9,14,1,1,1,0,0,0,0,0,0,0,0,0
sample94,1,,ST208;ST1806-PARALOG,2023,9,15,0,1,1,1,1,0,0,0,0,0,0,0
sample95,1,,ST208;ST1806-PARALOG,2023,9,15,1,1,0,0,0,0,0,0,0,0,0,0
sample96,13,,ST208;ST1806-PARALOG,2023,9,18,0,0,1,0,0,0,0,1,0,0,0,0
sample97,4,,ST348,2023,9,19,1,0,1,0,0,0,0,0,0,0,0,0
sample98,10,,ST2535-PARALOG;ST1697,2023,9,30,1,0,1,0,0,0,0,1,0,0,0,1
sample99,1,,ST208;ST1806-PARALOG,2023,12,10,0,1,1,1,1,0,0,0,0,0,0,0
sample100,1,,ST208;ST1806-PARALOG,2023,12,21,0,1,1,1,1,0,0,0,0,0,0,0
sample101,1,,ST208;ST1806-PARALOG,2024,2,26,1,1,1,1,0,0,0,0,0,0,0,0
sample102,1,,ST208;ST1806-PARALOG,2024,2,28,1,0,1,0,0,0,0,0,0,0,0,0
sample103,1,,ST208;ST1806-PARALOG,2024,4,18,1,1,1,1,0,0,0,0,0,0,0,0
sample104,11,,ST2807-PARALOG;ST2026,2024,4,30,1,0,1,0,0,0,0,1,0,0,0,1
sample105,1,,ST208;ST1806-PARALOG,2024,5,6,0,1,1,1,1,0,0,0,0,0,0,0
sample106,1,,ST208;ST1806-PARALOG,2024,5,7,0,1,1,1,1,0,0,0,0,0,0,0
sample107,1,,ST208;ST1806-PARALOG,2024,5,7,0,1,1,1,1,0,0,0,0,0,0,0
sample108,1,,ST208;ST1806-PARALOG,2024,5,7,0,1,1,1,1,0,0,0,0,0,0,0
sample109,3,NEW,,2024,7,13,0,0,0,0,0,0,0,0,0,0,0,0
sample110,1,NEW,ST208;ST1806-PARALOG,2024,8,1,1,1,1,1,0,0,0,0,0,0,0,0
